Customer_Name,Address,Bill_ID,Billing_Month,Area,Feeder_Type,Loadshedding_Hours_Per_Day,Units_Billed_kWh,Units_Consumed_kWh,Bill_Amount_PKR,Bill_Payment_Status,Electricity_Theft_Suspected
Nadia Junejo,"House #438, Mohalla #19, University Colony Nawabshah",KE-UCN-202507-0154,2025-07,University Colony Nawabshah,Urban Residential Feeder,5.6,60.7,61.9,1930,Paid,No
Kiran Sheikh,"House #378, Chowk #30, University Colony Nawabshah",KE-UCN-202506-0150,2025-06,University Colony Nawabshah,Urban Residential Feeder,4.4,80.6,83.4,2670,Paid,No
Yasir Malik,"House #356, Gali #32, University Colony Nawabshah",KE-UCN-202310-0050,2023-10,University Colony Nawabshah,Urban Residential Feeder,3.0,111.7,112.8,3290,Paid,No
Farhan Baloch,"House #167, Chowk #8, Isharpura Nawabshah",KE-ISN-202311-0053,2023-11,Isharpura Nawabshah,Rural Feeder,6.8,29.1,39.9,900,Unpaid,Yes
Abdul Soomro,"House #4, Road #4, Farsi Bagh Nawabshah",KE-FBN-202408-0100,2024-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.2,66.2,66.2,2310,Paid,No
Sana Sheikh,"House #227, Chowk #21, Gareebabad Nawabshah",KE-GBN-202510-0169,2025-10,Gareebabad Nawabshah,Low-Income Residential Feeder,6.6,40.9,40.8,1310,Unpaid,No
Owais Pathan,"House #175, Street #24, Society Colony Nawabshah",KE-SCN-202503-0135,2025-03,Society Colony Nawabshah,Urban Residential Feeder,3.8,112.7,113.1,3480,Paid,No
Salman Memon,"House #140, Lane #36, Farsi Bagh Nawabshah",KE-FBN-202508-0159,2025-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.1,144.8,144.1,4190,Paid,No
Sara Jamali,"House #214, Mohalla #47, Society Colony Nawabshah",KE-SCN-202304-0019,2023-04,Society Colony Nawabshah,Urban Residential Feeder,3.6,142.0,146.3,4060,Paid,No
Asad Qureshi,"House #340, Road #11, Manwabad Nawabshah",KE-MWN-202305-0024,2023-05,Manwabad Nawabshah,Semi-Urban Feeder,7.8,90.9,92.4,2790,Paid,No
Salman Junejo,"House #240, Road #1, Gareebabad Nawabshah",KE-GBN-202405-0085,2024-05,Gareebabad Nawabshah,Low-Income Residential Feeder,9.6,50.7,51.0,1470,Paid,No
Maryam Khaskheli,"House #26, Block #4, University Colony Nawabshah",KE-UCN-202408-0100,2024-08,University Colony Nawabshah,Urban Residential Feeder,7.3,72.9,112.5,2490,Paid,Yes
Shabana Rajput,"House #323, Road #28, University Colony Nawabshah",KE-UCN-202402-0066,2024-02,University Colony Nawabshah,Urban Residential Feeder,2.3,76.5,78.1,2560,Partially Paid,No
Sohail Larik,"House #353, Block #17, Isharpura Nawabshah",KE-ISN-202305-0021,2023-05,Isharpura Nawabshah,Rural Feeder,9.9,44.3,45.1,1450,Paid,No
Saleem Rind,"House #33, Block #17, University Colony Nawabshah",KE-UCN-202408-0096,2024-08,University Colony Nawabshah,Urban Residential Feeder,6.0,140.0,146.2,4410,Paid,No
Umer Ansari,"House #194, Lane #13, Farsi Bagh Nawabshah",KE-FBN-202304-0016,2023-04,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.3,132.0,133.8,4140,Paid,No
Rabia Khaskheli,"House #318, Lane #26, Manwabad Nawabshah",KE-MWN-202310-0049,2023-10,Manwabad Nawabshah,Semi-Urban Feeder,7.8,52.8,54.8,1550,Unpaid,No
Ayesha Memon,"House #103, Block #25, Society Colony Nawabshah",KE-SCN-202505-0144,2025-05,Society Colony Nawabshah,Urban Residential Feeder,4.9,97.7,102.4,3380,Paid,No
Danish Marri,"House #187, Road #38, Farsi Bagh Nawabshah",KE-FBN-202403-0075,2024-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.8,205.5,212.2,5950,Paid,No
Sara Jamali,"House #386, Road #45, Isharpura Nawabshah",KE-ISN-202507-0151,2025-07,Isharpura Nawabshah,Rural Feeder,14,57.2,58.5,1950,Paid,No
Sobia Junejo,"House #384, Road #34, Farsi Bagh Nawabshah",KE-FBN-202302-0008,2023-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.4,157.7,156.1,4810,Paid,No
Zainab Sheikh,"House #349, Road #44, Isharpura Nawabshah",KE-ISN-202409-0102,2024-09,Isharpura Nawabshah,Rural Feeder,8.0,34.6,74.0,1030,Partially Paid,Yes
Saba Soomro,"House #309, Street #35, University Colony Nawabshah",KE-UCN-202506-0146,2025-06,University Colony Nawabshah,Urban Residential Feeder,5.3,84.4,87.9,2490,Paid,No
Sadia Ali,"House #411, Chowk #19, Manwabad Nawabshah",KE-MWN-202512-0177,2025-12,Manwabad Nawabshah,Semi-Urban Feeder,5.2,85.3,125.8,2980,Unpaid,Yes
Sobia Sheikh,"House #282, Block #8, Farsi Bagh Nawabshah",KE-FBN-202306-0027,2023-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,5.5,81.0,79.3,2590,Partially Paid,No
Ghulam Panhwar,"House #197, Street #29, Society Colony Nawabshah",KE-SCN-202502-0126,2025-02,Society Colony Nawabshah,Urban Residential Feeder,3.5,119.9,122.1,3610,Partially Paid,No
Umer Shah,"House #122, Mohalla #42, Farsi Bagh Nawabshah",KE-FBN-202502-0130,2025-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.3,124.3,123.2,3970,Paid,No
Zeeshan Bhurgri,"House #402, Block #22, University Colony Nawabshah",KE-UCN-202412-0120,2024-12,University Colony Nawabshah,Urban Residential Feeder,3.4,125.0,129.8,4240,Unpaid,No
Iqra Pathan,"House #153, Mohalla #30, Isharpura Nawabshah",KE-ISN-202510-0167,2025-10,Isharpura Nawabshah,Rural Feeder,8.9,46.9,48.6,1460,Paid,No
Hamza Baloch,"House #414, Mohalla #48, Gareebabad Nawabshah",KE-GBN-202302-0007,2023-02,Gareebabad Nawabshah,Low-Income Residential Feeder,5.8,39.0,39.0,1240,Unpaid,No
Asma Abbasi,"House #116, Street #21, Farsi Bagh Nawabshah",KE-FBN-202511-0173,2025-11,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.0,168.8,173.2,5450,Paid,No
Arslan Memon,"House #127, Street #48, Farsi Bagh Nawabshah",KE-FBN-202511-0175,2025-11,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.3,134.7,137.2,4360,Paid,No
Asma Panhwar,"House #39, Lane #31, University Colony Nawabshah",KE-UCN-202312-0056,2023-12,University Colony Nawabshah,Urban Residential Feeder,3.4,87.1,85.3,2830,Partially Paid,No
Ayesha Bijarani,"House #187, Street #47, Farsi Bagh Nawabshah",KE-FBN-202409-0103,2024-09,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.9,188.9,193.0,5610,Paid,No
Bilal Memon,"House #310, Mohalla #13, Society Colony Nawabshah",KE-SCN-202504-0137,2025-04,Society Colony Nawabshah,Urban Residential Feeder,3.0,106.3,105.1,3270,Paid,No
Hina Panhwar,"House #35, Gali #37, Gareebabad Nawabshah",KE-GBN-202503-0134,2025-03,Gareebabad Nawabshah,Low-Income Residential Feeder,7.7,58.2,93.1,1920,Unpaid,Yes
Maryam Sethar,"House #130, Mohalla #10, Gareebabad Nawabshah",KE-GBN-202511-0172,2025-11,Gareebabad Nawabshah,Low-Income Residential Feeder,6.5,54.4,54.5,1590,Paid,No
Sikandar Bijarani,"House #363, Street #7, University Colony Nawabshah",KE-UCN-202405-0083,2024-05,University Colony Nawabshah,Urban Residential Feeder,4.0,87.4,86.3,3040,Paid,No
Rashid Shah,"House #160, Chowk #9, University Colony Nawabshah",KE-UCN-202312-0058,2023-12,University Colony Nawabshah,Urban Residential Feeder,2.8,123.7,120.0,3980,Paid,No
Naveed Rajput,"House #288, Block #28, Farsi Bagh Nawabshah",KE-FBN-202407-0093,2024-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,4.9,115.4,118.2,3960,Paid,No
Ayesha Pathan,"House #8, Street #34, Society Colony Nawabshah",KE-SCN-202301-0003,2023-01,Society Colony Nawabshah,Urban Residential Feeder,1.3,98.1,101.8,3050,Paid,No
Adnan Siddiqui,"House #374, Block #47, Gareebabad Nawabshah",KE-GBN-202405-0082,2024-05,Gareebabad Nawabshah,Low-Income Residential Feeder,7.9,58.1,56.7,1720,Unpaid,No
Abdul Memon,"House #174, Mohalla #5, University Colony Nawabshah",KE-UCN-202302-0008,2023-02,University Colony Nawabshah,Urban Residential Feeder,2.4,121.0,264.4,3960,Paid,Yes
Noman Panhwar,"House #152, Street #25, Society Colony Nawabshah",KE-SCN-202302-0010,2023-02,Society Colony Nawabshah,Urban Residential Feeder,1.5,86.5,84.8,2800,Paid,No
Abdul Baloch,"House #102, Mohalla #12, Society Colony Nawabshah",KE-SCN-202404-0076,2024-04,Society Colony Nawabshah,Urban Residential Feeder,2.5,81.9,81.3,2400,Paid,No
Sobia Abbasi,"House #118, Block #47, Farsi Bagh Nawabshah",KE-FBN-202403-0072,2024-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.6,158.2,163.2,4680,Paid,No
Asma Chandio,"House #142, Street #47, Gareebabad Nawabshah",KE-GBN-202306-0028,2023-06,Gareebabad Nawabshah,Low-Income Residential Feeder,12.2,63.3,63.3,1900,Partially Paid,No
Shoaib Bijarani,"House #145, Road #32, Society Colony Nawabshah",KE-SCN-202408-0098,2024-08,Society Colony Nawabshah,Urban Residential Feeder,6.4,97.0,98.2,3330,Paid,No
Yasir Rind,"House #404, Gali #35, Farsi Bagh Nawabshah",KE-FBN-202306-0026,2023-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.6,154.9,159.3,4630,Paid,No
Noman Khaskheli,"House #399, Road #29, Society Colony Nawabshah",KE-SCN-202410-0107,2024-10,Society Colony Nawabshah,Urban Residential Feeder,1.8,79.6,78.7,2330,Paid,No
Amna Qureshi,"House #372, Lane #29, Society Colony Nawabshah",KE-SCN-202502-0128,2025-02,Society Colony Nawabshah,Urban Residential Feeder,2.9,103.9,105.1,3010,Paid,No
Waqas Mahar,"House #71, Lane #22, Farsi Bagh Nawabshah",KE-FBN-202303-0012,2023-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.0,126.8,127.9,4280,Paid,No
Hamza Ansari,"House #44, Street #28, Gareebabad Nawabshah",KE-GBN-202507-0152,2025-07,Gareebabad Nawabshah,Low-Income Residential Feeder,13.1,36.2,37.4,1180,Paid,No
Rashid Ali,"House #443, Lane #8, Isharpura Nawabshah",KE-ISN-202507-0155,2025-07,Isharpura Nawabshah,Rural Feeder,14,38.6,83.9,1280,Paid,Yes
Ali Sheikh,"House #270, Road #29, Isharpura Nawabshah",KE-ISN-202409-0105,2024-09,Isharpura Nawabshah,Rural Feeder,12.3,57.6,91.9,1790,Paid,Yes
Fahad Baloch,"House #240, Street #2, Isharpura Nawabshah",KE-ISN-202309-0045,2023-09,Isharpura Nawabshah,Rural Feeder,11.6,54.8,55.5,1870,Partially Paid,No
Kamran Mahar,"House #71, Lane #24, Farsi Bagh Nawabshah",KE-FBN-202308-0038,2023-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.2,81.1,83.7,2720,Paid,No
Maryam Soomro,"House #30, Mohalla #42, Gareebabad Nawabshah",KE-GBN-202407-0094,2024-07,Gareebabad Nawabshah,Low-Income Residential Feeder,9.3,35.0,34.2,1000,Partially Paid,No
Bushra Bhurgri,"House #443, Road #40, Farsi Bagh Nawabshah",KE-FBN-202402-0067,2024-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.1,142.3,138.9,4000,Paid,No
Noman Jamali,"House #18, Chowk #47, Gareebabad Nawabshah",KE-GBN-202506-0150,2025-06,Gareebabad Nawabshah,Low-Income Residential Feeder,11.9,70.1,93.5,2180,Unpaid,Yes
Faisal Marri,"House #418, Road #42, Society Colony Nawabshah",KE-SCN-202403-0071,2024-03,Society Colony Nawabshah,Urban Residential Feeder,2.2,125.5,125.1,3860,Paid,No
Hassan Solangi,"House #253, Road #38, Gareebabad Nawabshah",KE-GBN-202301-0003,2023-01,Gareebabad Nawabshah,Low-Income Residential Feeder,5.8,37.1,37.4,1150,Paid,No
Rizwan Soomro,"House #99, Lane #6, Farsi Bagh Nawabshah",KE-FBN-202306-0030,2023-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.5,90.0,89.7,2710,Paid,No
Hamza Jatoi,"House #181, Street #20, Isharpura Nawabshah",KE-ISN-202503-0133,2025-03,Isharpura Nawabshah,Rural Feeder,9.7,48.4,72.5,1690,Paid,Yes
Shoaib Jamali,"House #270, Street #10, Society Colony Nawabshah",KE-SCN-202412-0119,2024-12,Society Colony Nawabshah,Urban Residential Feeder,2.2,54.0,55.7,1890,Paid,No
Samina Abbasi,"House #10, Road #13, Society Colony Nawabshah",KE-SCN-202405-0082,2024-05,Society Colony Nawabshah,Urban Residential Feeder,3.5,61.5,62.1,1900,Paid,No
Kashif Shah,"House #82, Street #10, Farsi Bagh Nawabshah",KE-FBN-202308-0040,2023-08,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.6,101.4,99.5,3500,Partially Paid,No
Saba Qureshi,"House #119, Road #47, Gareebabad Nawabshah",KE-GBN-202409-0105,2024-09,Gareebabad Nawabshah,Low-Income Residential Feeder,11.0,56.2,56.1,1880,Paid,No
Talha Chachar,"House #231, Chowk #5, University Colony Nawabshah",KE-UCN-202311-0052,2023-11,University Colony Nawabshah,Urban Residential Feeder,3.6,92.9,96.0,3240,Unpaid,No
Shazia Bhutto,"House #243, Road #26, University Colony Nawabshah",KE-UCN-202508-0159,2025-08,University Colony Nawabshah,Urban Residential Feeder,6.1,116.4,113.0,3440,Paid,No
Ayesha Sheikh,"House #379, Road #6, Manwabad Nawabshah",KE-MWN-202405-0083,2024-05,Manwabad Nawabshah,Semi-Urban Feeder,5.6,63.0,62.5,1900,Partially Paid,No
Sohail Shah,"House #389, Street #4, Farsi Bagh Nawabshah",KE-FBN-202404-0078,2024-04,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.1,91.7,90.0,3020,Paid,No
Hina Rind,"House #101, Road #44, Isharpura Nawabshah",KE-ISN-202309-0041,2023-09,Isharpura Nawabshah,Rural Feeder,11.0,57.9,59.8,1980,Unpaid,No
Kashif Soomro,"House #126, Gali #17, Manwabad Nawabshah",KE-MWN-202406-0087,2024-06,Manwabad Nawabshah,Semi-Urban Feeder,7.6,40.7,39.9,1250,Paid,No
Asma Bhutto,"House #300, Street #7, Gareebabad Nawabshah",KE-GBN-202311-0053,2023-11,Gareebabad Nawabshah,Low-Income Residential Feeder,6.7,54.5,53.9,1690,Partially Paid,No
Muhammad Bhutto,"House #150, Mohalla #20, Farsi Bagh Nawabshah",KE-FBN-202406-0087,2024-06,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.3,98.2,96.0,2860,Paid,No
Nida Ansari,"House #60, Lane #48, Society Colony Nawabshah",KE-SCN-202310-0048,2023-10,Society Colony Nawabshah,Urban Residential Feeder,4.4,127.2,131.2,4180,Partially Paid,No
Waqas Pathan,"House #67, Lane #5, University Colony Nawabshah",KE-UCN-202508-0158,2025-08,University Colony Nawabshah,Urban Residential Feeder,6.1,63.0,63.1,2140,Paid,No
Muhammad Pathan,"House #223, Street #19, Manwabad Nawabshah",KE-MWN-202303-0012,2023-03,Manwabad Nawabshah,Semi-Urban Feeder,6.8,88.0,89.2,2800,Paid,No
Imran Sethar,"House #417, Street #48, Manwabad Nawabshah",KE-MWN-202406-0089,2024-06,Manwabad Nawabshah,Semi-Urban Feeder,10.5,70.1,72.5,2180,Partially Paid,No
Hina Bijarani,"House #225, Gali #18, Gareebabad Nawabshah",KE-GBN-202405-0084,2024-05,Gareebabad Nawabshah,Low-Income Residential Feeder,8.6,57.4,59.1,1640,Unpaid,No
Asad Jatoi,"House #82, Street #15, University Colony Nawabshah",KE-UCN-202401-0063,2024-01,University Colony Nawabshah,Urban Residential Feeder,3.3,103.0,106.4,3240,Partially Paid,No
Ghulam Soomro,"House #99, Street #1, Farsi Bagh Nawabshah",KE-FBN-202503-0134,2025-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,1.6,99.8,100.7,3120,Paid,No
Abdul Pathan,"House #162, Gali #13, Society Colony Nawabshah",KE-SCN-202309-0041,2023-09,Society Colony Nawabshah,Urban Residential Feeder,4.7,75.5,75.6,2160,Partially Paid,No
Kashif Chachar,"House #345, Road #45, University Colony Nawabshah",KE-UCN-202406-0090,2024-06,University Colony Nawabshah,Urban Residential Feeder,5.3,123.9,128.3,3720,Unpaid,No
Owais Memon,"House #411, Road #28, University Colony Nawabshah",KE-UCN-202503-0131,2025-03,University Colony Nawabshah,Urban Residential Feeder,4.1,89.4,188.1,2880,Paid,Yes
Sadia Shah,"House #401, Lane #4, Manwabad Nawabshah",KE-MWN-202404-0077,2024-04,Manwabad Nawabshah,Semi-Urban Feeder,5.1,94.8,183.5,2800,Unpaid,Yes
Amna Soomro,"House #39, Street #18, Farsi Bagh Nawabshah",KE-FBN-202305-0024,2023-05,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.2,82.6,85.8,2810,Partially Paid,No
Aamir Marri,"House #382, Chowk #38, University Colony Nawabshah",KE-UCN-202405-0085,2024-05,University Colony Nawabshah,Urban Residential Feeder,7.0,93.1,97.4,2900,Paid,No
Kamran Qureshi,"House #251, Lane #14, Farsi Bagh Nawabshah",KE-FBN-202301-0005,2023-01,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.0,199.4,203.4,5720,Unpaid,No
Rukhsana Sheikh,"House #393, Lane #43, Manwabad Nawabshah",KE-MWN-202506-0150,2025-06,Manwabad Nawabshah,Semi-Urban Feeder,9.1,44.2,43.8,1520,Unpaid,No
Ayesha Memon,"House #134, Street #12, Isharpura Nawabshah",KE-ISN-202307-0033,2023-07,Isharpura Nawabshah,Rural Feeder,11.1,31.5,31.0,1040,Unpaid,No
Nasir Sethar,"House #398, Street #13, Manwabad Nawabshah",KE-MWN-202504-0140,2025-04,Manwabad Nawabshah,Semi-Urban Feeder,4.4,63.6,62.1,2040,Unpaid,No
Robina Jamali,"House #297, Block #34, Farsi Bagh Nawabshah",KE-FBN-202507-0155,2025-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,5.4,141.0,147.0,4540,Paid,No
Aliya Abbasi,"House #262, Road #4, Gareebabad Nawabshah",KE-GBN-202404-0078,2024-04,Gareebabad Nawabshah,Low-Income Residential Feeder,9.9,63.1,64.8,2140,Partially Paid,No
Yasmin Larik,"House #373, Block #22, Farsi Bagh Nawabshah",KE-FBN-202403-0073,2024-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.3,98.8,97.6,3190,Paid,No
Umer Khan,"House #293, Mohalla #30, University Colony Nawabshah",KE-UCN-202506-0149,2025-06,University Colony Nawabshah,Urban Residential Feeder,6.5,69.4,72.7,2100,Unpaid,No
Zainab Bhutto,"House #393, Lane #6, University Colony Nawabshah",KE-UCN-202507-0153,2025-07,University Colony Nawabshah,Urban Residential Feeder,5.5,82.7,86.2,2870,Paid,No
Sana Malik,"House #233, Block #49, Isharpura Nawabshah",KE-ISN-202508-0156,2025-08,Isharpura Nawabshah,Rural Feeder,11.8,38.9,38.5,1270,Partially Paid,No
Kashif Shah,"House #410, Gali #3, Society Colony Nawabshah",KE-SCN-202307-0032,2023-07,Society Colony Nawabshah,Urban Residential Feeder,5.4,131.2,132.7,4500,Paid,No
Noman Bhurgri,"House #321, Gali #5, Farsi Bagh Nawabshah",KE-FBN-202303-0013,2023-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.0,125.6,123.0,3900,Paid,No
Amna Qureshi,"House #74, Road #20, Manwabad Nawabshah",KE-MWN-202402-0067,2024-02,Manwabad Nawabshah,Semi-Urban Feeder,3.5,57.0,58.9,1610,Paid,No
Naveed Pathan,"House #92, Street #28, University Colony Nawabshah",KE-UCN-202408-0097,2024-08,University Colony Nawabshah,Urban Residential Feeder,7.1,87.8,90.3,2550,Paid,No
Usman Malik,"House #401, Block #20, Gareebabad Nawabshah",KE-GBN-202403-0074,2024-03,Gareebabad Nawabshah,Low-Income Residential Feeder,8.5,49.2,50.2,1650,Unpaid,No
Ali Junejo,"House #291, Street #8, Society Colony Nawabshah",KE-SCN-202509-0161,2025-09,Society Colony Nawabshah,Urban Residential Feeder,5.4,95.5,94.4,2930,Paid,No
Talha Panhwar,"House #155, Block #14, Farsi Bagh Nawabshah",KE-FBN-202302-0009,2023-02,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.2,167.0,173.4,5080,Paid,No
Ghulam Siddiqui,"House #77, Street #4, Gareebabad Nawabshah",KE-GBN-202411-0114,2024-11,Gareebabad Nawabshah,Low-Income Residential Feeder,6.0,31.4,43.1,940,Unpaid,Yes
Junaid Solangi,"House #172, Road #26, Isharpura Nawabshah",KE-ISN-202412-0120,2024-12,Isharpura Nawabshah,Rural Feeder,7.3,38.7,74.7,1110,Unpaid,Yes
Shoaib Khan,"House #340, Gali #40, Isharpura Nawabshah",KE-ISN-202302-0008,2023-02,Isharpura Nawabshah,Rural Feeder,5.4,41.2,65.0,1250,Paid,Yes
Naila Khaskheli,"House #348, Chowk #5, Gareebabad Nawabshah",KE-GBN-202507-0154,2025-07,Gareebabad Nawabshah,Low-Income Residential Feeder,14,62.9,61.9,1870,Unpaid,No
Farah Baloch,"House #286, Block #47, University Colony Nawabshah",KE-UCN-202402-0067,2024-02,University Colony Nawabshah,Urban Residential Feeder,3.0,145.4,149.9,4270,Paid,No
Asma Mahar,"House #208, Chowk #8, Manwabad Nawabshah",KE-MWN-202309-0042,2023-09,Manwabad Nawabshah,Semi-Urban Feeder,9.3,44.6,44.4,1350,Paid,No
Danish Panhwar,"House #265, Road #18, Manwabad Nawabshah",KE-MWN-202306-0028,2023-06,Manwabad Nawabshah,Semi-Urban Feeder,10.1,83.7,87.2,2510,Paid,No
Haris Rind,"House #60, Gali #45, Farsi Bagh Nawabshah",KE-FBN-202503-0132,2025-03,Farsi Bagh Nawabshah,Urban Commercial Feeder,3.6,163.9,160.2,5150,Paid,No
Amna Chandio,"House #163, Block #19, University Colony Nawabshah",KE-UCN-202405-0081,2024-05,University Colony Nawabshah,Urban Residential Feeder,6.0,58.1,59.9,1960,Paid,No
Usman Junejo,"House #232, Gali #25, University Colony Nawabshah",KE-UCN-202505-0144,2025-05,University Colony Nawabshah,Urban Residential Feeder,5.9,94.9,92.3,3170,Paid,No
Fahad Qureshi,"House #298, Chowk #32, Farsi Bagh Nawabshah",KE-FBN-202507-0152,2025-07,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.9,115.6,112.4,3330,Paid,No
Bilal Chandio,"House #274, Chowk #10, University Colony Nawabshah",KE-UCN-202511-0175,2025-11,University Colony Nawabshah,Urban Residential Feeder,4.2,82.9,135.9,2720,Paid,Yes
Rizwan Bhurgri,"House #252, Mohalla #11, Gareebabad Nawabshah",KE-GBN-202402-0070,2024-02,Gareebabad Nawabshah,Low-Income Residential Feeder,6.2,38.7,37.6,1270,Paid,No
Samina Solangi,"House #83, Lane #22, Farsi Bagh Nawabshah",KE-FBN-202309-0044,2023-09,Farsi Bagh Nawabshah,Urban Commercial Feeder,2.9,122.6,127.2,3950,Unpaid,No
Rabia Marri,"House #357, Gali #10, Manwabad Nawabshah",KE-MWN-202403-0074,2024-03,Manwabad Nawabshah,Semi-Urban Feeder,3.5,57.0,109.1,1780,Paid,Yes
Nadia Solangi,"House #178, Gali #7, Society Colony Nawabshah",KE-SCN-202508-0157,2025-08,Society Colony Nawabshah,Urban Residential Feeder,3.1,102.5,102.1,3160,Paid,No
Sara Soomro,"House #9, Street #15, Manwabad Nawabshah",KE-MWN-202505-0142,2025-05,Manwabad Nawabshah,Semi-Urban Feeder,5.5,82.4,123.7,2590,Paid,Yes
